codigo_ibge,nome,uf,regiao_imediata,regiao_intermediaria,latitude,longitude,populacao_2026
2516003,Solânea,PB,Guarabira,João Pessoa,-6.756675,-35.718558,27748
2516102,Soledade,PB,Campina Grande,Campina Grande,-7.099543,-36.363114,14435
2516151,Sossêgo,PB,Cuité - Nova Floresta,Campina Grande,-6.715086,-36.220457,3490
2516201,Sousa,PB,Sousa,Sousa - Cajazeiras,-6.745250,-38.231354,70247
2516300,Sumé,PB,Sumé,Campina Grande,-7.652210,-36.916948,17936
2516409,Tacima,PB,Guarabira,João Pessoa,-6.538818,-35.541471,7662
2516508,Taperoá,PB,Campina Grande,Campina Grande,-7.221626,-36.808042,14342
2516607,Tavares,PB,Princesa Isabel,Patos,-7.600794,-37.879328,14482
2516706,Teixeira,PB,Patos,Patos,-7.246646,-37.260515,15173
2516755,Tenório,PB,Campina Grande,Campina Grande,-6.961355,-36.629836,3095
2516805,Triunfo,PB,Cajazeiras,Sousa - Cajazeiras,-6.600375,-38.567637,10369
2516904,Uiraúna,PB,Sousa,Sousa - Cajazeiras,-6.512556,-38.399011,15475
2517001,Umbuzeiro,PB,Campina Grande,Campina Grande,-7.681038,-35.723238,9248
2517100,Várzea,PB,Patos,Patos,-6.790569,-37.044823,2790
2517209,Vieirópolis,PB,Sousa,Sousa - Cajazeiras,-6.554900,-38.280117,4961
2517407,Zabelê,PB,Monteiro,Campina Grande,-8.071918,-37.094900,2335
2600054,Abreu e Lima,PE,Recife,Recife,-7.887736,-35.016250,104527
2600104,Afogados da Ingazeira,PE,Afogados da Ingazeira,Serra Talhada,-7.714117,-37.628408,42915
2600203,Afrânio,PE,Petrolina,Petrolina,-8.624680,-41.085034,19464
2600302,Agrestina,PE,Caruaru,Caruaru,-8.474383,-35.933808,24740
2600401,Água Preta,PE,Palmares,Recife,-8.714574,-35.486078,26760
2600500,Águas Belas,PE,Garanhuns,Caruaru,-9.101881,-37.025463,43922
2600609,Alagoinha,PE,Belo Jardim ¿ Pesqueira,Caruaru,-8.496480,-36.770180,14473
2600708,Aliança,PE,Goiana ¿ Timbaúba,Recife,-7.616594,-35.190969,37328
